,0
"45,AL",0.08713958098564821
"45,AR",0.10697000223545837
"45,AZ",0.22066591184704418
"45,CA",0.11890494186244345
"45,CO",0.27942162649079544
"45,CT",0.14078796397101426
"45,DC",0.12018589739016952
"45,DE",0.10482957951643795
"45,FL",0.07947133443778964
"45,GA",0.13240073937597033
"45,IA",0.2558058742523114
"45,ID",0.3479664856648015
"45,IL",0.2836129050514832
"45,IN",0.3397889892572893
"45,KS",0.23962419655971073
"45,KY",0.2229667459319694
"45,LA",0.09261009981845982
"45,MA",0.27091830096317326
"45,MD",0.1129576602577099
"45,ME",0.37963843092828403
"45,MI",0.2543087944851908
"45,MN",0.27255189154816795
"45,MO",0.2566883582242442
"45,MS",0.08496126424427612
"45,MT",0.6717145261821259
"45,NC",0.1309994278863529
"45,ND",1.0216836584610356
"45,NE",0.23629422383706028
"45,NH",0.26980417511634436
"45,NJ",0.07998325562136102
"45,NM",0.32199625696888384
"45,NV",0.48295983331738745
"45,NY",0.21117603331002296
"45,OH",0.2949579289999147
"45,OK",0.14298661482509997
"45,OR",0.4163493346580425
"45,PA",0.14029894367638476
"45,RI",0.18918963686544477
"45,SC",0.10263743397960502
"45,SD",0.3075507600431008
"45,TN",0.15009390902944564
"45,TX",0.11046849641108654
"45,UT",0.21695455970100835
"45,VA",0.13306419554177507
"45,VT",0.3960020142763085
"45,WA",0.37728526207046975
"45,WI",0.19276794001447406
"45,WV",0.2455387932439007
"45,WY",0.3412164454276906
"85,AL",0.11414356429575222
"85,AR",0.13580714178244577
"85,AZ",0.16655917395997635
"85,CA",0.14925704378478685
"85,CO",0.34517897132946473
"85,CT",0.23509900858046895
"85,DC",0.1409479505979293
"85,DE",0.14194518066554576
"85,FL",0.09279929653604911
"85,GA",0.15921403384343402
"85,IA",0.20622530002452497
"85,ID",0.2893282297512646
"85,IL",0.15721939225612186
"85,IN",0.2175123441892493
"85,KS",0.15924254796414652
"85,KY",0.19480234515806882
"85,LA",0.1130988997730742
"85,MA",0.2828600886720019
"85,MD",0.12054810010570458
"85,ME",0.3519261317586894
"85,MI",0.25037425226600935
"85,MN",0.25769547036933704
"85,MO",0.15874491738780971
"85,MS",0.11964979598231512
"85,MT",0.343535196026401
"85,NC",0.14135187104303173
"85,ND",0.3558919380426179
"85,NE",0.18031082768415357
"85,NH",0.299539570188275
"85,NJ",0.20522514111137236
"85,NM",0.3323286346191406
"85,NV",0.4328661485505956
"85,NY",0.21894339535212332
"85,OH",0.21724032711902708
"85,OK",0.14006971025103565
"85,OR",0.40255575000883176
"85,PA",0.19901386922440892
"85,RI",0.24902595100619293
"85,SC",0.1318787147660034
"85,SD",0.2500683421246856
"85,TN",0.15811589473584528
"85,TX",0.14674761046755255
"85,UT",0.2942259942493719
"85,VA",0.11632034015713898
"85,VT",0.41781028525256453
"85,WA",1.105116672107537
"85,WI",0.22000786975156736
"85,WV",0.22449190695040883
"85,WY",0.43595997151678545
